,City,lat,lon,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust
152,hermanus,-53.5737,12.0444,1657410469,31.84,19.24,994,99,31.62,0.0,100,81,28.27,25,44.11
153,charlestown,16.5025,-62.6877,1657410471,81.32,88.03,1017,84,76.01,0.0,88,10000,21.18,70,24.92
154,bredasdorp,-65.2292,21.4484,1657410473,-18.89,-31.49,989,100,-18.89,0.0,100,6171,7.02,263,9.06
155,illoqqortoormiut,71.4429,-29.6724,1657410474,19.15,6.55,1012,66,10.69,0.19,0,10000,13.15,274,14.52
156,pacific grove,26.8724,-135.7089,1657410476,70.75,71.1,1023,76,62.82,3.8,77,10000,16.51,63,19.35
157,santa cruz de la palma,30.1339,-17.447,1657410477,70.95,71.92,1017,89,67.55,0.0,10,10000,18.66,9,26.37
158,rikitea,-44.8261,-139.8431,1657410479,47.21,39.43,1017,64,35.67,0.41,68,10000,22.64,331,26.04
159,avarua,-20.2795,-160.9986,1657410481,75.09,75.51,1019,68,63.82,5.6,53,10000,21.43,110,20.49
160,hilo,12.7166,-143.1673,1657410482,77.85,78.67,1014,71,67.69,7.31,56,10000,18.57,60,19.08
161,puerto escondido,7.8682,-101.0534,1657410484,79.5,79.5,1012,78,72.03,0.42,63,10000,5.82,194,5.28
162,punta arenas,-81.3876,-107.72,1657410486,-20.13,-32.73,994,100,-20.13,0.0,100,1043,12.5,29,15.88
163,trinidad,-15.6598,-65.1096,1657410487,77.23,76.87,1011,47,55.45,0.0,11,10000,4.14,354,22.19
164,jamestown,-23.8064,-19.8571,1657410489,68.45,68.05,1029,65,56.23,0.0,100,10000,16.02,94,16.69
165,kirovo-chepetsk,58.4923,50.2119,1657410490,58.91,58.87,1016,93,56.89,0.0,98,10000,2.84,136,2.73
166,galle,3.6616,78.8527,1657410492,82.36,89.15,1009,78,74.8,0.0,65,10000,16.44,279,19.55
167,nguiu,-11.6539,131.5907,1657410494,71.71,71.26,1015,57,55.67,2.96,95,10000,20.96,119,23.06
168,reconquista,-28.836,-61.9957,1657410495,80.98,80.83,1001,42,55.74,0.0,0,10000,18.03,16,39.82
169,khatanga,81.0192,108.1034,1657410497,32.2,26.15,999,95,31.06,1.42,100,10000,6.42,255,9.46
170,eskasem,37.3361,72.8157,1657410498,33.78,28.65,1013,39,13.69,0.0,0,10000,5.61,282,5.59
171,kyshtovka,57.7522,76.9528,1657410500,64.99,64.72,1013,75,56.89,0.27,92,10000,1.52,334,1.7
172,barrow,89.8919,-166.9227,1657410502,31.35,20.79,995,95,30.24,1.09,100,674,14.94,135,20.42
173,ushuaia,-71.2736,-38.1781,1657410503,-16.31,-28.91,984,96,-17.03,0.0,100,1092,17.83,187,26.87
174,tiksi,82.595,132.0791,1657410505,31.91,22.42,999,92,30.09,1.77,100,10000,12.57,222,17.96
175,saint-philippe,-51.8527,64.7257,1657410506,34.2,21.6,984,88,31.14,0.0,100,6217,41.38,230,54.51
176,cape town,-63.95,-16.595,1657410508,14.5,9.12,986,95,13.46,0.0,100,10000,3.22,204,3.22
177,tuktoyaktuk,77.6137,-124.597,1657410510,33.62,26.6,1009,97,32.86,2.36,89,8261,8.37,349,11.65
178,illoqqortoormiut,89.5774,-26.6927,1657410511,31.5,20.84,996,91,29.44,1.09,100,5347,15.3,275,20.13
179,bethel,46.5661,-172.0362,1657410513,51.39,50.92,1021,100,51.39,1.38,100,141,5.93,254,7.23
180,rikitea,-46.758,-126.7275,1657410514,44.87,36.54,1014,60,31.87,0.14,25,10000,21.61,219,21.54
181,ruteng,-7.5421,119.7717,1657410516,81.97,86.81,1011,72,72.05,1.6,9,10000,9.31,102,10.0
182,nur,37.5775,51.9989,1657410518,76.42,77.11,1006,71,66.33,0.0,0,10000,2.13,42,2.19
183,san ciro de acosta,21.6467,-99.7365,1657410519,77.61,77.43,1015,50,57.52,0.66,18,10000,15.61,82,18.41
184,bredasdorp,-55.3304,17.532,1657410521,29.23,22.53,1000,84,25.48,0.0,97,10000,6.49,332,9.6
185,san cristobal,-2.607,-88.3967,1657410522,70.14,70.81,1014,84,65.08,0.0,94,10000,14.16,157,15.23
186,kodiak,48.5631,-153.5063,1657410524,53.64,53.11,1010,94,51.96,0.95,100,10000,40.85,251,57.04
187,denpasar,-9.143,114.967,1657410526,80.64,85.44,1012,79,73.51,0.88,95,10000,17.29,111,19.13
188,thompson,59.1456,-94.5857,1657410527,48.54,42.42,1009,73,40.3,0.77,84,10000,16.53,114,22.86
189,qaanaaq,79.7095,-89.8002,1657410529,36.16,31.82,1010,88,32.95,0.96,99,5535,5.17,227,6.11
190,samusu,-2.2383,-163.0098,1657410530,80.69,86.09,1010,82,74.68,9.88,11,10000,19.35,115,25.34
191,mataura,-69.0484,-154.3803,1657410532,-6.95,-19.55,966,98,-7.33,0.0,100,1993,20.4,302,31.18
192,zlobin,52.934,30.3451,1657410534,56.95,56.66,1010,92,54.64,0.0,92,10000,5.26,327,6.02
193,husavik,76.1602,-9.9927,1657410535,34.57,23.16,1012,90,31.96,0.12,73,10000,20.74,205,24.38
194,lesnikovo,55.0878,65.5714,1657410537,66.9,66.58,1015,70,56.8,0.03,99,10000,1.86,1,2.13
195,lompoc,23.9781,-126.806,1657410538,68.85,69.71,1019,91,66.11,4.21,76,10000,18.92,64,23.53
196,atuona,-14.0882,-138.0143,1657410540,77.47,78.26,1014,71,67.33,3.53,46,10000,9.86,87,10.42
197,taolanaro,-63.5361,59.6046,1657410542,1.47,-9.45,980,96,0.7,0.0,100,155,5.48,12,8.37
198,salalah,17.2106,55.7678,1657410543,77.41,79.0,998,88,73.58,0.0,99,10000,36.1,212,48.09
199,hilo,18.5226,-136.8826,1657410545,73.67,74.17,1016,73,64.49,6.0,42,10000,18.57,47,19.71
200,taolanaro,-88.5554,64.7362,1657410546,-78.14,-90.74,1052,100,-78.14,0.0,100,10000,5.21,322,5.1
201,chepareria,1.3442,35.6426,1657410548,68.74,69.4,1015,87,64.71,0.0,100,10000,1.23,164,3.94
202,lagoa,44.4147,-31.3141,1657410550,66.67,67.08,1026,86,62.35,0.0,100,10000,17.87,201,21.85
203,magan,62.068,129.6162,1657410551,60.73,60.35,1002,82,55.2,0.39,20,10000,8.99,30,0.0
204,illoqqortoormiut,89.6794,-10.018,1657410553,31.42,20.75,996,94,30.07,1.09,100,1528,15.26,290,20.67
205,beloha,-29.3138,39.8527,1657410555,71.04,71.22,1026,72,61.57,0.0,0,10000,20.47,39,21.88
206,ghauspur,28.0929,69.2106,1657410556,90.97,102.67,996,61,75.65,0.0,90,10000,7.99,194,8.19
207,rikitea,-39.8349,-129.1752,1657410558,51.57,49.77,1018,71,42.49,0.34,95,10000,11.81,191,11.65
208,carnarvon,-25.1242,89.5113,1657410560,64.76,63.43,1025,53,47.25,0.0,60,10000,18.79,112,17.85
209,butaritari,24.8265,170.4689,1657410561,82.13,86.23,1017,68,70.52,11.84,52,10000,8.75,148,9.19
210,port hedland,-16.6863,117.296,1657410563,74.93,74.43,1016,49,54.5,0.81,68,10000,14.36,100,15.17
211,cosenza,39.1727,16.3166,1657410565,61.47,60.31,1016,64,49.19,0.0,3,10000,5.95,64,6.33
212,hobart,-43.8842,157.0942,1657410566,49.03,41.88,1029,65,37.8,0.42,99,10000,22.46,149,24.25
213,tuatapere,-45.939,165.9585,1657410568,47.86,38.07,1021,68,37.83,0.99,2,10000,38.41,145,42.03
214,mar del plata,-54.8564,-44.6182,1657410569,34.93,22.33,989,79,29.44,0.0,100,10000,41.94,269,54.54
215,albany,-64.0887,124.4567,1657410571,32.59,19.99,949,97,31.86,0.0,100,52,26.96,10,45.63
216,mataura,-88.3178,-143.711,1657410572,-67.41,-80.01,1039,100,-67.41,0.0,100,10000,12.71,155,14.79
217,komsomolsk,55.7053,88.0159,1657410574,61.45,60.82,1011,75,53.46,0.58,29,10000,1.77,114,2.93
218,zabol,31.314,60.3232,1657410576,79.3,79.3,998,16,29.59,0.0,4,10000,13.42,340,20.38
219,krasnoselkup,65.8382,83.2372,1657410577,54.64,53.19,1011,72,45.81,0.51,93,10000,17.78,331,22.35
220,bethel,50.634,-162.2554,1657410579,49.91,43.83,1014,93,47.97,3.08,97,10000,18.23,290,22.93
221,hofn,67.1258,-13.2607,1657410580,44.06,35.1,1011,98,43.54,0.0,85,8325,23.49,146,36.17
222,albany,-87.9595,106.8517,1657410582,-70.83,-83.43,1043,100,-70.83,0.0,100,10000,10.2,187,10.07
223,cape town,-53.0557,-2.4669,1657410584,33.6,23.2,975,99,33.35,0.0,100,10000,16.28,343,25.72
224,jamestown,-17.4795,-4.3948,1657410585,66.47,65.82,1023,64,53.94,0.0,100,10000,27.85,110,31.59
225,souillac,-23.3418,58.9162,1657410587,68.74,68.41,1027,66,56.93,0.0,55,10000,24.83,121,24.54
226,vaini,-52.2619,-173.1953,1657410588,33.94,21.34,983,61,23.07,0.33,100,10000,46.28,228,50.15
227,rudnaya pristan,43.9089,136.0516,1657410590,63.59,63.88,1009,90,60.6,3.32,76,10000,8.01,22,8.77
228,kapaa,13.6965,-171.9958,1657410592,80.69,86.09,1014,82,74.68,12.54,14,10000,20.58,82,24.58
229,puerto ayora,1.0672,-91.8733,1657410593,73.67,74.64,1013,83,68.18,0.0,82,10000,12.68,198,11.59
230,isangel,-16.2694,176.3314,1657410595,79.79,79.79,1014,80,73.08,7.54,94,10000,18.7,104,20.15
231,ribeira grande,34.6,-34.4082,1657410596,70.48,70.38,1029,67,59.02,0.0,36,10000,10.58,39,10.45
